partNo,hsnCode,description,category,uom,gstPct,piePrice,elgiPrice,reorderLevel,safetyStock,defaultBinId,notes
B005700770013,48239090,AIR FILTER ELEMENT SET 1765 CFM,Filter,Nos,18,52178,65223,4,2,A1,
B677701,70195900,SEPARATOR ELEMENT 1600 CFM,Separator,Nos,18,121898,152373,3,1,A1,
B407701,84212300,SPIN ON FILTER - 180 LPM,Filter,Nos,18,11716,14645,12,6,A1,
15400154,84149019,HOSE OIL LINE,Hose,Nos,18,8605,10756,6,3,A1,
B005700770014,48239090,AIR FILTER ELEMENT SET 1250 CFM,Filter,Nos,18,41200,51500,6,3,A1,
B677702,70195900,SEPARATOR ELEMENT 1250 CFM,Separator,Nos,18,98400,123000,3,1,A1,
B407702,84212300,SPIN ON FILTER - 120 LPM,Filter,Nos,18,9280,11600,15,6,A1,
B407703,84212300,OIL FILTER ELEMENT - 90 LPM,Filter,Nos,18,6640,8300,18,8,A1,
15400155,84149019,HOSE AIR DISCHARGE 2 INCH,Hose,Nos,18,7120,8900,5,2,A1,
15400156,84149019,HOSE OIL RETURN 1 INCH,Hose,Nos,18,4560,5700,8,4,A1,
B920001,84143000,MINIMUM PRESSURE VALVE 1.5 INCH,Valve,Nos,18,18800,23500,4,2,A1,
B920002,84143000,THERMOSTATIC VALVE KIT,Valve,Set,18,13440,16800,5,2,A1,
B920003,84819090,SOLENOID VALVE 24V DC,Valve,Nos,18,5360,6700,10,5,A1,
B811201,40103999,V BELT SET - EG SERIES,Belt,Set,18,7440,9300,7,3,A1,
B811202,40103999,V BELT SET - AB SERIES,Belt,Set,18,5920,7400,7,3,A1,
B733401,34031900,ELGI ULTRA COOLANT 20 LTR,Lubricant,Can,18,14000,17500,10,5,A1,
B733402,34031900,ELGI SYNTHETIC OIL 5 LTR,Lubricant,Can,18,4400,5500,14,6,A1,
B650101,85049090,NEURON CONTROLLER,Electrical,Nos,18,66400,83000,2,1,A1,
B650102,85361090,PRESSURE TRANSDUCER 0-16 BAR,Electrical,Nos,18,9840,12300,6,3,A1,
B650103,85369090,TEMPERATURE SENSOR PT100,Electrical,Nos,18,3760,4700,8,4,A1,
B540201,84149090,AIR END OVERHAUL KIT - 75 KW,Kit,Set,18,148000,185000,1,1,A1,
B540202,84149090,AIR END OVERHAUL KIT - 45 KW,Kit,Set,18,110400,138000,2,1,A1,
B430101,40169390,O RING KIT - SCREW COMPRESSOR,Kit,Set,18,2320,2900,20,10,A1,
B430102,40169390,GASKET SET - RECIPROCATING,Kit,Set,18,1840,2300,20,10,A1,
B221001,84149051,COOLER ASSEMBLY - AIR/OIL,Cooler,Nos,18,71200,89000,1,1,A1,
B221002,84149051,FAN MOTOR 1.5 KW,Motor,Nos,18,22400,28000,3,1,A1,
